Company Name,Job Title,Location,job_category,salary_in_inr
Applied Materials,Data Scientist,Bangalore,Data Scientist,1407768.0
Mavenir,Data Scientist,Bangalore,Data Scientist,961306.0
Molecular Connections,Data Scientist,Bangalore,Data Scientist,516564.0
Yodlee,Data Scientist,Bangalore,Data Scientist,2315641.0
NovelSynth Soft Solutions,Data Scientist,Bangalore,Data Scientist,245580.0
Locus,Data Scientist,Bangalore,Data Scientist,2472920.0
IVYTEL Technologies,Data Scientist,Bangalore,Data Scientist,496798.0
Sumyag,Data Scientist,Bangalore,Data Scientist,770664.0
Wabtec,Data Scientist,Bangalore,Data Scientist,2420967.0
VMware,Data Scientist,Bangalore,Data Scientist,2079353.0
Wipro Digital,Data Scientist,Bangalore,Data Scientist,1207396.0
Zycus,Data Scientist,Bangalore,Data Scientist,904464.0
Tyson Foods,Data Scientist,Bangalore,Data Scientist,1825549.0
OceanFrogs,Data Scientist,Bangalore,Data Scientist,444048.0
Lenovo,Data Scientist,Bangalore,Data Scientist,1917242.0
Tata,Data Scientist,Bangalore,Data Scientist,1612292.0
Dun & Bradstreet,Data Scientist,Bangalore,Data Scientist,182028.0
AlmaBetter,Data Scientist,Bangalore,Data Scientist,729193.0
CreditNirvana,Data Scientist,Bangalore,Data Scientist,1245989.0
DONE by NONE,Data Scientist,Bangalore,Data Scientist,750734.0
Accentue,Data Scientist,Bangalore,Data Scientist,1319401.0
First Student,Data Scientist,Bangalore,Data Scientist,501000.0
Datamatics Global Services,Data Scientist,Bangalore,Data Scientist,1223165.0
Razorpay,Data Scientist,Bangalore,Data Scientist,1423985.0
NTT Ltd.,Data Scientist,Bangalore,Data Scientist,1611876.0
mfine,Data Scientist,Bangalore,Data Scientist,2050962.0
Marlabs,Data Scientist,Bangalore,Data Scientist,1304028.0
Optum Global Solutions,Data Scientist,Bangalore,Data Scientist,1213107.0
Reckonsys,Data Scientist,Bangalore,Data Scientist,1333764.0
Apisero,Data Scientist,Bangalore,Data Scientist,950000.0
Aruba Networks,Data Scientist,Bangalore,Data Scientist,1518492.0
Intellicar,Data Scientist,Bangalore,Data Scientist,1327250.0
ORMAE,Data Scientist,Bangalore,Data Scientist,202344.0
CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,Bangalore,Data Scientist,225960.0
Belong,Data Scientist,Bangalore,Data Scientist,1433532.0
Mobile Premier League,Data Scientist,Bangalore,Data Scientist,2404581.0
Smiths Detection,Data Scientist,Bangalore,Data Scientist,1560483.0
Shubh Loans,Data Scientist,Bangalore,Data Scientist,996878.0
TCS,Data Scientist,Bangalore,Data Scientist,3532356.0
Fresher,Data Scientist,Bangalore,Data Scientist,703427.0
Aditya Birla Group,Data Scientist,Bangalore,Data Scientist,1635202.0
Morgan Stanley,Data Scientist,Bangalore,Data Scientist,1299238.0
Publicis Sapient,Data Scientist,Bangalore,Data Scientist,396600.0
DataVal Analytics,Data Scientist,Bangalore,Data Scientist,695052.0
Thomson Reuters,Data Scientist,Bangalore,Data Scientist,1532945.0
Numerify,Data Scientist,Bangalore,Data Scientist,2530666.0
Kabbage,Data Scientist,Bangalore,Data Scientist,2065471.0
Loyalytics Consulting,Data Scientist,Bangalore,Data Scientist,712128.0
Monsanto Company,Data Scientist,Bangalore,Data Scientist,1975970.0
FOKAL,Data Scientist,Bangalore,Data Scientist,1085362.0
Sutherland,Data Scientist,Bangalore,Data Scientist,1064862.0
Hypersonix (CA),Data Scientist,Bangalore,Data Scientist,3146934.0
Boeing,Data Scientist,Bangalore,Data Scientist,2266312.0
Utopus Insights,Data Scientist,Bangalore,Data Scientist,1163045.0
Apple,Data Scientist,Bangalore,Data Scientist,857370.0
GetupForChange Services,Data Scientist,Bangalore,Data Scientist,681696.0
MIQ Logistics,Data Scientist,Bangalore,Data Scientist,601398.0
Zendrive,Data Scientist,Bangalore,Data Scientist,1574844.0
Honeywell,Data Scientist,Bangalore,Data Scientist,841368.0
Paytm,Data Scientist,Bangalore,Data Scientist,549688.0
Unilever,Data Scientist,Bangalore,Data Scientist,1705561.0
Conduent,Data Scientist,Bangalore,Data Scientist,846242.0
3K Technologies,Data Scientist,Bangalore,Data Scientist,798116.0
DONE by NONE,Data Scientist,Bangalore,Data Scientist,180396.0
Netenrich Inc.,Data Scientist,Bangalore,Data Scientist,1164765.0
Majorel,Data Scientist,Bangalore,Data Scientist,1347252.0
Polynomial.Ai,Data Scientist,Bangalore,Data Scientist,500036.0
HARMAN,Data Scientist,Bangalore,Data Scientist,638755.0
Mbb Labs,Data Scientist,Bangalore,Data Scientist,1204704.0
Analytics Vidhya,Data Scientist,Bangalore,Data Scientist,152652.0
KPMG,Data Scientist,Bangalore,Data Scientist,874565.0
Inference Labs,Data Scientist,Bangalore,Data Scientist,637284.0
Cartesian Consulting,Data Scientist,Bangalore,Data Scientist,954426.0
ZedEye Labs,Data Scientist,Bangalore,Data Scientist,933816.0
McAfee,Data Scientist,Bangalore,Data Scientist,1181838.0
Zinnov Management Consulting,Data Scientist,Bangalore,Data Scientist,1068503.0
Microsoft,Data Scientist,Bangalore,Data Scientist,1006284.0
Simpl,Data Scientist,Bangalore,Data Scientist,1962841.0
Unisys,Data Scientist,Bangalore,Data Scientist,1104704.0
Shaw Academy,Data Scientist,Bangalore,Data Scientist,1433708.0
Rakuten,Data Scientist,Bangalore,Data Scientist,1929554.0
Blue Yonder,Data Scientist,Bangalore,Data Scientist,2184214.0
SalesKen,Data Scientist,Bangalore,Data Scientist,1039792.0
Danske IT and Support Services,Data Scientist,Bangalore,Data Scientist,831774.0
Samsung Electronics,Data Scientist,Bangalore,Data Scientist,2197572.0
Sonata Software,Data Scientist,Bangalore,Data Scientist,627332.0
Merck KGaA,Data Scientist,Bangalore,Data Scientist,827767.0
InViz AI Solutions,Data Scientist,Bangalore,Data Scientist,776836.0
Sumyag,Data Scientist,Bangalore,Data Scientist,354240.0
Samsung R&D Institute India - Bangalore,Data Scientist,Bangalore,Data Scientist,1975545.0
Quess,Data Scientist,Bangalore,Data Scientist,781491.0
QuEST Global,Data Scientist,Bangalore,Data Scientist,1408375.0
PayU,Data Scientist,Bangalore,Data Scientist,2018938.0
Encora,Data Scientist,Bangalore,Data Scientist,1256429.0
Tata Consultancy Services,Data Scientist,Bangalore,Data Scientist,1427832.0
Accenture,Data Scientist,Bangalore,Data Scientist,715272.0
Walmart eCommerce,Data Scientist,Bangalore,Data Scientist,2923356.0
Nivetti Systems,Data Scientist,Bangalore,Data Scientist,747000.0
Prescience,Data Scientist,Bangalore,Data Scientist,1437318.0
